title,overview,genres,emotion,link
Hi Nanna,"Six-year-old Mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, Viraj, a dedicated single parent and successful fashion photographer. Her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, Pluto. A chance encounter with a kind woman named Yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. Set against a backdrop of love, sacrifice, and redemption, Mahi’s story is a heartfelt exploration of family, resilience, and the enduring power of connection.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/1068452
Rocky Aur Rani Kii Prem Kahaani,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/848116
Hannah Montana: The Movie,"When Miley Stewart (aka pop-star Hannah Montana) gets too caught up in the superstar celebrity lifestyle, her dad decides it's time for a total change of scenery. But sweet niblets! Miley must trade in all the glitz and glamour of Hollywood for some ol' blue jeans on the family farm in Tennessee, and question if she can be both Miley Stewart and Hannah Montana.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/18126
High School Musical 2,"The East High Wildcats are gearing up for big fun as they land the coolest summer jobs imaginable. Troy, Gabriella, Chad, and Taylor have scored sweet gigs at the Lava Springs Country Club owned by Sharpay and Ryan's family. Sharpay's first rule of business: Get Troy. As Troy experiences a life of privilege he's never known, will he give up the Wildcats and Gabriella to rise to the top?","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/13649
High School Musical 3: Senior Year,"As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/11887
"Angus, Thongs and Perfect Snogging","Georgia Nicolson is fourteen, lives with nosey parents who don't understand her, an annoying three year old sister and has to wear a beret to school. She would, however, rather be blonde, have a smaller nose and a boyfriend. Revolving around her hilarious journal entries, prepare to be engulfed in the world of the soaring joys and bottomless angst of being a teenager.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/12689
The Last Song,"A drama centered on a rebellious girl who is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/35690
Save the Last Dance,"After the death of her mother, Sara moves to the South Side of Chicago to live with her father and gets transferred to a majority-black school. Her life takes a turn for the better when befriends Chenille and her brother Derek, who helps her with her dancing skills.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/9816
Quest for Camelot,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur, and Kayley has to stop him.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/18937
Cloud 9,"Set high atop snow-capped mountains in the adrenaline-fueled world of competitive snowboarding, the Disney Channel Original Movie “Cloud 9″ tells the inspiring story of two snowboarders who must overcome self-doubt to learn that achieving their dreams is possible.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/245473
A Cinderella Story: Once Upon a Song,"In this modern telling of the classic tale, aspiring singer Katie Gibbs falls for the new boy at her performing arts high school. But Katie's wicked stepmother and stepsister are scheming to crush her dream before she can sing her way into his heart.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/74018
The Little Mermaid,A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.,"['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/385448
Us Again,"In a vibrant city pulsating with rhythm and movement, an elderly man and his young-at-heart wife rekindle their youthful passion for life and each other on one magical night.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/779047
Snow White,A young princess named Snow White is sent away from her palace to live in the woods due to the jealousy of her stepmother.,"['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/116743
Little Women,"Louisa May Alcott's autobiographical account of her life with her three sisters in Concord Mass in the 1860s. With their father fighting in the civil war, the sisters: Jo, Meg, Amy and Beth are at home with their mother - a very outspoken women for her time. The story is of how the sisters grow up, find love and find their place in the world.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/43436
Camp Rock,"When Mitchie gets a chance to attend Camp Rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/13655
The Family Star,"Govardhan, a devoted architect from Hyderabad, juggles supporting his extended family while seeking a partner who understands his commitments. When he discovers Indu thesis on his family, he challenges her, leading to unexpected twists as they navigate misunderstandings and eventually find love amidst sacrifice and understanding","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/1141320
Tuck Everlasting,"Teenager Winnie Foster is growing up in a small rural town in 1914 with her loving but overprotective parents, but Winnie longs for a life of greater freedom and adventure.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/13768
Let It Snow,"A resort executive is sent to a newly purchased lodge in Maine with instructions to turn it in to an ultra-modern resort, and finds a charming, successful lodge loaded with holiday spirit. Will she stick with her boss’s plans to tear everything down or find a way to save what she has come to love? Stars Candace Cameron-Bure and Alan Thicke.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/240906
Curly Sue,"Bill is a penniless drifter who scams strangers out of just enough money to feed himself and his partner in crime, an orphan girl known as Curly Sue. Bill and Curly Sue target Grey, a yuppie lawyer, but their con takes an unexpected turn when the successful woman begins to like the ramshackle duo. But there's one problem—Grey's jealous, conniving boyfriend, Walker.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/11894
Encore Martha,"Follows two women who re-encounter each other after 30 years apart. Against all odds, they fall in love once again, and despite that youth is no longer on their side, they decide to spend the remaining of their twilight years in each other’s arms, no matter how much that may be.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/901414
Dil Dhadakne Do,"On a cruise to celebrate their parents' 30th wedding anniversary, a brother and sister deal with the impact of family considerations on their romantic lives.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/338065
Cool Kids Don't Cry,"Adaptation of one of Benelux most famous children's novels. Tough prime school girl Akkie loves soccer and can be a real bully. Love is the only thing she's scared of. When Akkie is diagnosed with Leukemia, she has to fight for her life. On the verge of going to high school, Akkie has to allow love to enter her life, and thus gain courage to accept the inevitable.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/115929
Dilan 1983,"In this 1980s prequel, Dilan reunites with his elementary school friends after a year and a half away and tries to impress a new transfer student.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/1255559
Hum Tum,"The encounters of two people who run into each other on several occasions under circumstances ranging from friendly to hostile to loving. Along many years and countless run-ins, the two despise each other, befriend each other, and fall in love with each other—in no particular order.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/4253
Hum Saath Saath Hain,"A wealthy businessman's traditional family celebrate their togetherness when his three sons get married, but slowly find themselves growing apart after a misunderstanding.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/62883
Meet Me in St. Louis,Young love and childish fears highlight a year in the life of a turn-of-the-century family up to the 1904 St. Louis World's Fair.,"['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/909
The Perfect Man,"Holly is tired of moving every time her mom Jean breaks up with yet another second-rate guy. To distract her mother from her latest bad choice, Holly conceives the perfect plan for the perfect man, an imaginary secret admirer who will romance Jean and boost her self-esteem.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/15648
Parenthood,"The story of the Buckman family and friends, attempting to bring up their children. They suffer/enjoy all the events that occur: estranged relatives, the 'black sheep' of the family, the eccentrics, the skeletons in the closet, and the rebellious teenagers.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/1552
Windstorm 2,"Summer vacation. Mika is overjoyed to see Windstorm again. But then she discovers strange wounds on the belly of Windstorm, for which no one has an explanation. Yet this is Kaltenbach verge of bankruptcy! With a heavy heart Mika decides to participate in a variety tournament in which beckons a high prize money. But during training affects Windstorm distracted, often he runs away easily. Mika pursued the black stallion until deep into the forest and is quite surprised: From the thicket a seemingly magical gray mare appears and the two horses dance around lovingly. Suddenly, a strange boy named Milan appears, who says the mare had escaped him. He claimed that he could Help Mika to win the tournament. But is there still time to save Kaltenbach?","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/334354
Raise Your Voice,"A coming-of-age story centered around a small-town singer brokenhearted by the death of her brother in a car crash, who had secretly submitted her for a summer session at a performing arts academy in Los Angeles. In the academy, she experiences a whole new way of life in the big city, far from the small town lifestyle she's used to.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/14024
Saawariya,"Two souls arrive in a small town, one on vacation, the other to meet a lover. They spend the most magical dream-like days of their lives in that town... with each other.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/16283
Miss Potter,"Beatrix Potter, the author of the beloved children's book ""The Tale of Peter Rabbit"", struggles for love, happiness and success.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/13967
Qalb,Qalb tells the story of two young hearts falling in love. The ride takes you through the 7 stages of love. The title song 'Qalbee' describes the spiritual elements of love. Like faith there is no compulsion in love either.,"['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/967353
Silver Skates,"1899, the Christmas-time St.Petersburg. Ice-covered rivers and canals of the capital seethe with festive activities. On the eve of the new century those who should not be destined to meet, come together. They are people from different worlds: Matvey, the son of a lamplighter, whose only treasure is his silver-plated skates; Alice is the daughter of a high-ranking official dreaming of science. Each of them has his own difficult life-story, but having accidentally met they rush forward together in pursuit of their dreams.","['Drama', 'Romance', 'Family']",hopeful,https://www.themoviedb.org/movie/576920
Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,"['Drama', 'History']",depressed,https://www.themoviedb.org/movie/872585
Dovbush,"In the early eighteenth century, foreign rule means dark times for the Hutsuls of the Carpathians. The two Dovbush brothers become opryshkos - mountain outlaws. But the two brothers become enemies - one cares only about money, the other - Oleksa - fights for his people. The Carpathians are convulsed with a wave of uprisings. The aristocracy uses its military might to try to kill Dovbush and destroy his legend. But Dovbush outwits them. The desperate lords devise a devious plan and attack the invincible outlaw's Achilles heel - his love for his childhood sweetheart, Marichka. Who will be the assassin to attack the Opryshko whose immense strength and bravery inspired folk tales? Will the lords' treacherous plan destroy the hero before he can lead his people to freedom?","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/815029
Number 24,"On the brink of the Second World War, a young Norwegian man's drive to resist the Nazis sets a new course for his future – and the future of his country.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/1222248
Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"['Drama', 'History']",depressed,https://www.themoviedb.org/movie/424
Dead to Rights,"The story is based on real documented evidence of the atrocities committed by the Japanese army during the Nanjing Massacre. A group of civilians hiding in the Lucky Photo Studio to escape the violence are forced to assist a Japanese military photographer in developing film to survive each day. By chance, they develop photographic evidence that exposes the Japanese army's massacre in the city. Initially focused only on surviving the horrors, they ultimately decide to preserve these damning negatives as proof of the atrocities unfolding in Nanjing...","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/1500536
Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/324786
Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/857
Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/197
Kingdom of Heaven,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/1495
Ford v Ferrari,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/359724
The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/205596
Legends of the Condor Heroes: The Gallants,"Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/1185528
Fierce Town,"By the middle of the 12th century, the borders of the Mongolian Empire stretched from the Adriatic and Mediterranean Seas in the west to the southern lands of China in the east. The Mongolian army, under Khan Batu’s command, was known for its invisibility, destroying anyone who dared to challenge them. Yet, even within their central territories, some areas refused to bow to the Genghisids. Kozelsk was one of them. The Mongolian armies bypassed the high walls of this small town, considering that ""the skin of the wolf was not worth the risk of encountering its teeth"".However, one of the Khan’s commanders harbored a grudge against the town's citizens. Now, the people of Kozelsk must face a battle against the strongest army in the world, with no hope of victory. This is a story about people facing their death. Some try to escape, others are willing to do anything to survive, but most are prepared to protect their city from the relentless storms of the Mongolian hordes.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/584855
Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/466420
Apocalypto,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/1579
Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/490132
Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/568
Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/381284
Tetris,"In 1988, American video game salesman Henk Rogers discovers the video game Tetris. When he sets out to bring the game to the world, he enters a dangerous web of lies and corruption behind the Iron Curtain.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/726759
1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/530915
The Three Musketeers: D'Artagnan,"D'Artagnan, a spirited young Gascon, is left for dead after trying to save a noblewoman from being kidnapped. Once in Paris, he tries by all means to find his attackers, unaware that his quest will lead him to the very heart of a war where the future of France is at stake. Aided by King's Musketeers Athos, Porthos and Aramis, he faces the machinations of villainous Cardinal Richelieu and Milady de Winter, while falling in love with Constance, the Queen's confidante.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/796185
The Zone of Interest,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/467244
Little Women,Four sisters come of age in America in the aftermath of the Civil War.,"['Drama', 'History']",depressed,https://www.themoviedb.org/movie/331482
13 Hours: The Secret Soldiers of Benghazi,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,"['Drama', 'History']",depressed,https://www.themoviedb.org/movie/300671
All Quiet on the Western Front,"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/49046
The Three Musketeers: Milady,"D'Artagnan, on a quest to rescue the abducted Constance, runs into the mysterious Milady de Winter again. The tension between the Catholics and the Protestants finally escalates, as the king declares war — forcing the now four musketeers into battle. But as the war goes on, they are tested physically, mentally and emotionally.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/845111
Private House of the SS,"Top Nazi officials, intent on rooting out traitors and those in the military who may be plotting to overthrow Adolf Hitler, recruit and train a group of beautiful prostitutes whose mission is to use any means necessary to uncover plots against the Fuhrer.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/40339
The Woman King,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/724495
Portrait of a Lady on Fire,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/531428
I'm Still Here,A woman married to a former politician during the 1971 military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,"['Drama', 'History']",depressed,https://www.themoviedb.org/movie/1000837
The Boy in the Striped Pyjamas,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/14574
12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/76203
Peacemaker Kurogane: Belief,"Although traumatized by witnessing the murder of his parents by one of the Choushuu, Ichimura Tetsunosuke's thirst for revenge leads him to desire strength. At the age of 15, Tetsunosuke approached the Shinsengumi, wanting to become one of its members. However, Tetsunosuke lacked the skill, mind, and will to emotionlessly cut down whoever threatened peace and the Shinsengumi. Even with the support of his brother Tatsunosuke and his newfound friends of the Shinsengumi, little did Tetsunosuke know the blood and pain he would have to face being part of this historical group.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/483456
Ben-Hur,"In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/665
Straight Outta Compton,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/277216
Society of the Snow,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/906126
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/1955
Air,Discover the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,"['Drama', 'History']",depressed,https://www.themoviedb.org/movie/964980
Empire of Lust,"In the turbulent Joseon dynasty, army commander Min-jae watches ambitious Prince Yi Bang-won while becoming entwined with Ga-hee, a vengeful gisaeng. Fate collides as power shifts.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/333167
The Fire Inside,"Claressa Shields, a high school junior from Flint, Michigan, aided by her tough-love coach, Jason Crutchfield, pushes past all limitations to become the first American woman to win an Olympic gold medal in boxing. But even at the pinnacle of success, Claressa has to reckon with the fact that not all dreams are created equal, and the real fight has only just begun.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/610219
The Founder,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/310307
The Alto Knights,"Two of New York's most notorious organized crime bosses, Frank Costello and Vito Genovese, vie for control of the city's streets. Once the best of friends, petty jealousies and a series of betrayals place them on a deadly collision course that will reshape the Mafia (and America) forever.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/1013601
The Impossible,"In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/80278
Sully,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the Hudson River, saving the lives of all 155 souls aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/363676
The Ten Commandments,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.","['Drama', 'History']",depressed,https://www.themoviedb.org/movie/6844
