title,authors,category,description,link,emotion
The Self-Help Myth,Erica Kohl-Arenas,Social Science,"""The Self-Help Myth reveals how philanthropy maintains systems of inequality by attracting attention to the behaviors and responsibilities of poor people while shifting the focus away from structural inequities and relationships of power that produce poverty. The book features foundation investments in addressing migrant poverty in California's Central Valley, simultaneously one of the wealthiest agricultural production regions in the world and home to the poorest people in the United States. The case studies show how compromises between foundation staff and community organizers produce programs that ask farmworkers to help themselves while excluding strategies that address the role of industrial agriculture in creating and maintaining regional poverty. Through archival and ethnographic case studies of foundation investments leading up to the historic Farm Worker Movement, to large scale foundation-driven initiatives to improve conditions in agricultural communities during the 1990s and 2000s, foundations set firm boundaries around definitions of self-help - excluding labor organizing, immigrant rights, and advocacy approaches that hold industry accountable for the enduring abuses of farmworkers and immigrants. Processes of professionalization and institutionalization required to maintain philanthropic relationships further frustrate nonprofit organizational staff increasingly accountable to foundations and not to the people they aim to represent and serve.""--Provided by publisher.",http://books.google.co.in/books?id=wI0kDQAAQBAJ&dq=self-help&hl=&source=gbs_api,hopeful
Self-Compassion,Dr. Kristin Neff,Self-Help,"Kristin Neff, Ph.D., says that it’s time to “stop beating yourself up and leave insecurity behind.” Self-Compassion: Stop Beating Yourself Up and Leave Insecurity Behind offers expert advice on how to limit self-criticism and offset its negative effects, enabling you to achieve your highest potential and a more contented, fulfilled life. More and more, psychologists are turning away from an emphasis on self-esteem and moving toward self-compassion in the treatment of their patients—and Dr. Neff’s extraordinary book offers exercises and action plans for dealing with every emotionally debilitating struggle, be it parenting, weight loss, or any of the numerous trials of everyday living.",http://books.google.co.in/books?id=vYUm34rk3UoC&dq=self-help&hl=&source=gbs_api,hopeful
Writing Successful Self-Help and How-To Books,Jean Marie Stine,Language Arts & Disciplines,"""If you follow only a third of Jean's advice, you'll have a successful book."" --Jeremy Tarcher, Publisher Jeremy P. Tarcher, Inc. ""After Jean reworked my first draft, paperback rights sold for $137,000."" --Timmen Cermak, M.D., author of A Time to Heal: The Road to Recovery for Adult Children of Alcoholics Mastering the craft and understanding the mechanics of writing self-help and how-to books is the key to getting publishers to take notice of your work. Now, in the first guide to writing self-help and how-to books, Jean Stine offers an insider's view of this growing genre. Her easy-to-follow program takes you step-by-step through the complete writing process. You'll learn the importance of: * Structure and Style * Clear, easy-to-understand exercises * Creating catchy and compelling titles, subtitles, and chapter headings * Using lists, charts, and graphs to maximum effect * Checklists and other interactive elements * Writing a proposal that sells * Negotiating permissions for quotations, photos, and illustrations * Preparing your manuscript for presentation to a publisher",http://books.google.co.in/books?id=3HvuEAAAQBAJ&dq=self-help&hl=&source=gbs_api,hopeful
This is How,Augusten Burroughs,Self-Help,"From the New York Times bestselling author of Running With Scissors comes a groundbreaking book that explores how to survive the ""un-survivable"" and will challenge your notion of self-help books. To say that Augusten Burroughs has lived an unusual life is an understatement. From having no formal education past third grade and being raised by his mother's psychiatrist in the seventies to enjoying one of the most successful advertising careers of the eighties to experiencing a spectacular downfall and rehab stint in the nineties to having a number one bestselling writing career in the new millennium. Burroughs has faced humiliation, transformation and everything in between. This Is How is his no-holds-barred book of advice on topics as varied as: - How to feel like crap - How to ride an elevator - How to be thin - How to be fat - How to find love - How to feel sorry for yourself - How to get the job - How to end your life - How to remain unhealed - How to finish your drink - How to regret as little as possible - And much more Told with Burroughs' unique voice, black humour, and in-your-face advice, This is How is Running With Scissors - with recipes.",http://books.google.co.in/books?id=OeYxHFxzl38C&dq=self-help&hl=&source=gbs_api,hopeful
The Plus,Greg Gutfeld,Self-Help,"NEW YORK TIMES BESTSELLER Greg Gutfeld wants to be your new guru, and he hates himself for it. Before Greg Gutfeld was a Fox News star and a New York Times bestselling author, he was a self-help writer for health magazines who had no idea what he was talking about. But now, after years of experience, he finally feels qualified to guide people on the journey of life—call this book punishment for his sins, and a huge reward for you! In The Plus, Greg teaches you how to brainwash yourself into better behavior, retaining the pluses in your life and eliminating the minuses. His approach to self-help is simple, and perfect for cynics; it’s not about positive thinking in the short term, it’s about positive being in the long term. With tough love and more than a little political incorrectness, he delivers sage wisdom such as: -If you aren’t getting happier as you’re getting older, you’re doing it wrong. -Resist the media’s command to expand destructive narratives. -If you’re in the same place you were three years ago, wake up. -Don’t tweet when drinking. Modern life grows emptier and emptier as society becomes increasingly polarized, and even those who don’t subscribe to New Age beliefs are seeking comfort and meaning. In The Plus, Greg shows how skeptics too can advance themselves for the betterment of their lives and the healing of their communities.",http://books.google.co.in/books?id=Ufj1DwAAQBAJ&dq=self-help&hl=&source=gbs_api,hopeful
Real Help,Ayodeji Awosika,Unknown,"Do you ever feel like self-help gurus are...lying to you?You want a better life. You know it's possible, but the promises you see most self-help books make just seem too good to be true, right?""Work 4 hours a week and make millions?""""Quit your job in six months!""""Follow these ten steps to become rich, famous, and everlastingly happy!""Is there a better alternative? Is there a way to learn how to live a better life without all the extra hype, fake-promises, and B.S.? Real Help: An Honest Guide to Self-Improvement details the in-depth self-improvement knowledge and wisdom from Ayodeji Awosika -- a self-taught 3-time author, TEDx speaker, and top writer on medium.com with over 50,000 followers who helps millions of readers per year with wisdom and insights to change their life.This book won't guarantee any of the following: You'll make millions of dollars You'll build a life-changing business that helps you quit your job overnight You'll find perfect, peace, happiness, and contentment It will, however, teach you everything you need to know to help you: Discover your life purpose (without needing an ""exact match"") Develop the mental toughness you need to thrive in an unfair world Start your first passion project or side business (without needing to be an expert) Dramatically increase your odds of living a successful life (even though this can't be guaranteed) Build life-changing habits and execute them on auto-pilot (even if you've tried and failed before) This is a book that tells you what you need to know, not what you want to hear. This is a book that tells you how the world actually works, not how you think it should work.Aren't you tired of being told you can ""succeed no matter what!""? It's almost insulting. You live in the real world. If you want to succeed in the real world, you have to understand how to be optimistic and realistic at the same time. With Real Help, you'll get a no-holds-barred field guide to improving your life with the circumstances you've been given. It will help you build a tailor-made path to a successful life based on your definition of the word.",http://books.google.co.in/books?id=htXBzAEACAAJ&dq=self-help&hl=&source=gbs_api,hopeful
The End of Self-Help,Unknown,Unknown,"The self-help genre is replete with books telling people how to be happier and more fulfilled. And books with a spiritual or mindfulness perspective suggest that being present is the solution. But no book provides the precise and constructive guidance needed to discover that happiness is truly possible in any moment. Until now. Using clear language and useful examples, ""The End of Self-Help: Discovering Peace and Happiness Right at the Heart of Your Messy, Scary, Brilliant Life"" describes how personal suffering is a case of mistaken identity. The book starts with common, entrenched psychological experiences such as unresolved problems from the past, worries about the future, feelings of inadequacy, compulsive behaviors, and confusing emotions. In skillful detail, it illuminates the shift of attention required for true happiness. Explorations in each chapter bring the material alive in the reader's own experience, essential to challenge decades of conditioning.The book walks alongside readers as they become experts in how their thoughts and feelings bring about suffering and realize the simple fact of peaceful, aware presence that is always here and available. It describes that this infinite, spacious presence is the truth of who we are, that we're not limited to our thoughts and feelings. The book illustrates how to live this insight in the moments of everyday life.",http://books.google.co.in/books?id=tyvurQEACAAJ&dq=self-help&hl=&source=gbs_api,hopeful
A Self-Help Guide for Copywriters,Dan B Nelken,Advertising copy,"From aspiring to expiring copywriters, this book will help you become a more efficient, more confident creative. In other words, you'll make more money. And friends. It's a little about the creative process and a lot about the craft of writing headlines, with over two hundred example ads. If you're looking for ""killer headline formulas that can't fail,"" ""data-driven headline conversion hacks,"" ""SEO secrets (Google doesn't want you to know),"" or ""can't-miss clickbait headlines,"" you can find everything you need in a search bar. If you want to learn how to come up with a crap ton of ideas and turn them into headlines that bring personality to your writing, click add to cart. Oh, and as much as the title of this book, A Self-Help Guide for Copywriters, was meant to be a little tongue-in-cheek, it's the only book on creativity in advertising that takes on the subject of creative self-doubt. It will help you whack-a-mole self-doubting thoughts before they can even get a word in. Note: This is also a great resource for people who dislike copywriters. Read this book and soon you'll be able to casually point out flaws in their work, making the fragile copywriter in your life feel even more insecure.",http://books.google.co.in/books?id=OqbFzgEACAAJ&dq=self-help&hl=&source=gbs_api,hopeful
Think Straight,Darius Foroux,Unknown,"I know something about you without knowing you. I bet you spend A LOT of time in your head. You know, thinking, worrying, stressing, freaking out -- call it whatever you want. I call it a preoccupied mind. And with what? 99% of your thoughts are useless. William James, once the leading psychologist in America, and one of the founders of the philosophical school of pragmatism, put it best: ""A great many people think they are thinking when they are merely rearranging their prejudices."" Pragmatism believes that the mind is a tool. Your mind should work for you, not against you. People who don't master their mind, don't believe it's possible. They say: ""I can't help but thinking these things."" Well, you can TAKE CONTROL of your mind with enough practice. I've done it. And in THINK STRAIGHT, I share exactly how. It's a quick read and you can use it to immediately to improve your thinking. You have the ability to decide what you think. Or, you can choose NOT to think. And that is one of the most important and most practical things you can learn in life. Before I learned that skill, I would spend hours and hours inside my head. Just think about how much you think. - ""I wonder what my boss thinks?"" - ""What happens if I screw up and lose my job?"" - ""What if my business never takes off?"" - ""Does she love me?"" - ""Why does my life suck?"" - ""What if I get cancer?"" - ""I can't finish anything. What's wrong with me? And the list goes on. THINK STRAIGHT reveals the recipe for taking control of your mind so you can improve your life, career, relationships, business. I wrote this little book in a way that you can read it more than once. And I hope that this book serves as an anchor to you--especially during trying times. The mind is the most powerful tool on earth. Change the way you think. And you'll change your life.",http://books.google.co.in/books?id=7G2IuAEACAAJ&dq=self-help&hl=&source=gbs_api,hopeful
Find Your Passion,Henri Junttila,"Learning, Psychology of","Are You Ready to Finally Find Your Passion? What if you could say bye bye to confusion? What if you had a way to uncover what you were truly meant to do? In Find Your Passion: 25 Questions You Must Ask Yourself you'll discover a powerful set of questions that will help you do exactly that. I've been helping people find and follow their passion for over a decade, and some of the things I've discovered are weird, surprising, and fascinating all at the same time. In this book, I share a simple process that will help you gain more clarity, and access the answers that were always waiting within you. Here's a taste of what you'll discover when you read this book: How your definition of passion stops you from living the life you want A simple way to connect to your inner wisdom (and get the guidance you need) How to discover if you're on the right track (or on the wrong track) Tap into your personality to uncover your true passion and purpose Why using negativity can dramatically increase the positivity in your life How to activate the creative problem solving powers of your brain Uncovering what's really holding you back from getting what you want A powerful exercise that will help you easily overcome challenges in your life When you're done reading, you'll have the answers you need, and you'll know how to take the next step toward your dream life. Pick up your copy by clicking the BUY NOW button at the top of this page!",http://books.google.co.in/books?id=n4ecngEACAAJ&dq=self-help&hl=&source=gbs_api,hopeful
Self-Help,Lorrie Moore,Fiction,"From the national bestselling author of A Gate at the Stairs—and a master of contemporary American fiction—comes “a funny, cohesive, and moving collection of stories"" (The New York Times Book Review). In these tales of loss and pleasure, lovers and family, a woman learns to conduct an affair, a child of divorce dances with her mother, and a woman with a terminal illness contemplates her exit. Filled with the sharp humor, emotional acuity, and joyful language Moore has become famous for, these nine glittering tales marked the introduction of an extravagantly gifted writer.",http://books.google.co.in/books?id=U6chLctEST8C&dq=self-help&hl=&source=gbs_api,hopeful
Win Your Inner Battles,Darius Foroux,Control (Psychology),"""Do you want to change your career? Start a business? Stop losing sleep over a deadline? End your relationship? Or maybe, just live a fulfilling life? Everyone has goals and ambitions in life. But we often don't pursue our inner desires because of one thing: Fear and a lack of self-confidence. In Win Your Inner Battles, I will show you how to destroy fear and live your life with a sense of purpose. You’ll learn how to conquer fear, improve self-confidence, stop worrying, and live life on YOUR terms. I wrote this book based on my own experiences. No matter how bad your situation is, there is always a way out."" --Author's summary",http://books.google.co.in/books?id=0tp5zwEACAAJ&dq=self-help&hl=&source=gbs_api,hopeful
Atomic Habits (MR-EXP),James Clear,Unknown,No description,http://books.google.co.in/books?id=eoIIzAEACAAJ&dq=self-help&hl=&source=gbs_api,hopeful
Community-based Rehabilitation,Unknown,Community health services,No description,http://books.google.co.in/books?id=1Zm80AEACAAJ&dq=self-help&hl=&source=gbs_api,hopeful
Price-support Program,United States. Congress. Senate. Committee on Agriculture and Forestry,Agricultural price supports,No description,https://play.google.com/store/books/details?id=MPpCAQAAMAAJ&source=gbs_api,hopeful
The Motivation Manifesto,Brendon Burchard,Self-Help,"The Motivation Manifesto is a poetic and powerful call to reclaim your life and find your own personal freedom from Brendon Burchard – the world’s #1 high performance coach and #1 New York Times bestselling author of High Performance Habits. “It’s a triumphant work that transcends the title, lifting the reader from mere motivation into a soaringly purposeful and meaningful life. I love this book."" —Paulo Coelho The Motivation Manifesto is a call to claim our personal power. World-renowned high performance trainer Brendon Burchard reveals that the main motive of humankind is the pursuit of greater Personal Freedom. We desire the grand liberties of choice—time freedom, emotional freedom, social freedom, financial freedom, spiritual freedom. Only two enemies stand in our way: an external enemy, defined as the social oppression of who we are by the mediocre masses, and an internal enemy, a sort of self-oppression caused by our own doubt and fear. The march to Personal Freedom, Brendon says, can be won only by declaring our intent and independence, stepping into our personal power, and battling through self-doubt and the distractions of the day until full victory is won. Recalling the revolutionist voices of the past that chose freedom over tyranny, Brendon motivates us to free ourselves from fear and take back our lives once and for all. In this life-changing personal growth book, Brendon presents his nine declarations for personal power and motivation, drawing on insights from his own personal journey and from the lives of some of history's greatest leaders and thinkers. Each chapter focuses on one of the nine declarations, offering practical strategies and exercises to help you apply these principles to your life. Whether you're seeking to overcome self-doubt, boost your confidence, or achieve your goals, The Motivation Manifesto is an invaluable guide to unlocking your full potential. With its inspiring message and actionable advice, this bestselling book is a must-read for anyone who wants to unleash their inner greatness with the power of determination, resilience, and an empowering mindset.",http://books.google.co.in/books?id=-1_6DwAAQBAJ&dq=motivational&hl=&source=gbs_api,hopeful
النجاة فى الحكمة المنطقية والطبيعية والألهية,ابن سينا,Philosophy,قسم الفيلسوف ابن سينا كتابه النجاة إلى ثلاثة أقسام: المنطق: وفي هذا القسم تناول «ابن سينا» على طريقة «أرسطو» اللفظ والمركّب، قبل أن يعرض للألفاظ الخمسة. ومن ذلك يتطرق على أقسام الكلام الثلاثة، وهي الاسم والكلمة (أو الفعل) والأداة، وبعد أن يتناول أقسام القياس الثلاثة: أي الاقتراني والاستثنائي والشرطي، يأتي على المقدمات التي يبنى عليها القياس بأشكاله وهي تسع. الطبيعيّات: وفي هذا القسم يبدأ بتعريف هذا العلم بقوله: إنه صناعة نظرية، موضوعها الأجسام الموجودة، بما هي واقعة في التغيّر، وبما هي موصوفة بأنحاء الحركات والسكونيات. ويختلف هذا التصنيف على حد ما عن تصنيف «أرسطو» الذي قصر مبادئ العلم الطبيعي على المادة والصورة والعدم. يستهل «ابن سينا» القسم الثالث من كتابه «النجاة» بقوله: إن العلم الإلهي يختلف عن العلم الطبيعي والعلم الرياضي اللذين يبحثان في أحوال بعض الموجودات الجزئية، من حيث يفحص عن أحوال الموجود المطلق ولواحقه، وهي الوحدة والكثرة والقوة والفعل والقدم والحدوث والعلة والمعلول.,https://play.google.com/store/books/details?id=TycnEQAAQBAJ&source=gbs_api,hopeful
The Power of a Positive Attitude,Roger Fritz,Self-Help,"In this book, you’ll discover how to develop a deeper understanding of the effects of your attitude and how it influences not only your performance, but the results others achieve. The way we view difficulties and setbacks can make the difference between success and failure. Author Roger Fritz has devoted his career to helping people overcome obstacles and achieve their goals by changing their outlook on life, and he’ll help you do the same with this useful resource. In The Power of a Positive Attitude, you can learn to succeed in business by: assessing your attitude toward yourself and your co-workers overcoming negative attitudes learning the dos and don’ts in dealing with your boss becoming a better listener overcoming resistance to change in the workplace rejecting suggestions without causing resentment giving and responding to criticism from team members disagreeing with employees and colleagues without being disagreeable conquering burnout and stress Attitude affects every facet of our lives—from the way we handle stress to how we communicate at work. Life-affirming and authoritative, The Power of a Positive Attitude is an invaluable book that will empower anyone to face life and work with joy and confidence.",https://play.google.com/store/books/details?id=VwRH7DjDKisC&source=gbs_api,hopeful
The Last “Motivational” Book You’ll Ever Need,Mark Erdat,Business & Economics,"Discover the missing factors to stay motivated and achieve your goals, even if you’ve failed before. Warning! Not for the faint of heart or those desperate for a magic motivational pill! But, if you’re ready to shift your mindset and follow a proven, step-by-step formula to be unstoppable, you’ve come to the right place! Whether you want to transform your body, succeed in your career/business, radically improve your discipline, or eradicate bad habits, this book will give you a simple to follow blueprint to be an effective achiever. Here’s exactly what you’re going to discover inside: -Why most people don’t actually struggle with motivation (even though they think they do), what the main problem is, and how to fix it -Why motivation is only 5% of your success (motivational gurus don’t want you to know this) -The biggest motivational myths and how they block your success -The hidden force stopping you from achieving your goals faster -Tested mindset shift secrets that will make you unstoppable, even if you feel like crap -When quitting is actually the best thing you can do for yourself (not what you think) -The hidden dangers of most “motivational books” out there -Exactly how to use fear and doubts to your advantage and be unstoppable -High Performance hacks to avoid burnouts and stay productive without losing your freedom Life is too short to waste on things that don’t get you closer to your goals. If you’re sick and tired of ivory-tower gurus, fake positivity, and outdated information that doesn’t work in real life, and are ready to transform your life forever, read this eBook today!",https://play.google.com/store/books/details?id=9jvZEAAAQBAJ&source=gbs_api,hopeful
Memory,William Walker Atkinson,Fiction,Reproduction of the original: Memory by William Walker Atkinson,http://books.google.co.in/books?id=rDyyDwAAQBAJ&dq=motivational&hl=&source=gbs_api,hopeful
Successful Management by Motivation,"Bruno S. Frey, Margit Osterloh",Business & Economics,"Motivated employees play a crucial role in creating a companys sustainable competitive advantage. Successful Management by Motivation shows that in a knowledge-based society, this goal cannot be achieved by extrinsic motivation alone. Pay for performance often even hurts because it crowds out intrinsic motivation. To succeed, companies have to find ways of fostering and sustaining intrinsic motivation. With the help of in-depth case studies, representative surveys, and analysis based on a large number of firms and employees, this work identifies the various aspects of motivation in companies and shows how the right combination of intrinsic and extrinsic motivation can be achieved.",http://books.google.co.in/books?id=ScTvqTbKB7IC&dq=motivational&hl=&source=gbs_api,hopeful
The Motivation Breakthrough,Richard Lavoie,Education,Offers parents and teachers six strategies that will encourage children to learn and find success in their schooling by focusing on the things that motivate them and inspiring them to succeed and achieve.,http://books.google.co.in/books?id=najp_IYebO0C&dq=motivational&hl=&source=gbs_api,hopeful
Handbook of Motivational Counseling,"W. Miles Cox, Eric Klinger",Psychology,"Motivation is a pervasive force that can affect well-being in a variety of life situations, from the more minor through to the ability to overcome addictions and other serious psychological problems. This book presents empirically supported theories (featuring current concerns theory), questionnaires based on these theories (highlighting the Motivational Structure Questionnaire) and varied interventions based on these, with special emphasis on Systematic Motivational Counselling but also including chapters on such approaches as Personality Systems Interaction Theory, expectancy-based approaches, Motivational Interviewing, logotherapy and several others.",https://play.google.com/store/books/details?id=IkD9iHRiFRgC&source=gbs_api,hopeful
Coaching and Motivation,William E Warren,Sports & Recreation,No description,http://books.google.co.in/books?id=QblYAjpClWAC&dq=motivational&hl=&source=gbs_api,hopeful
Enhancing Motivation for Change in Substance Abuse Treatment,William R. Miller,Psychology,"This report is based on a rethinking of the concept of motivation, which is redefined here as purposeful, intentional, & positive -- directed toward the person's best interests. This report shows how substance abuse treat. staff can influence change by developing a therapeutic relationship that respects & builds on the client's autonomy & makes the treat. clinician a partner in the change process. Describes motivational interventions that can be used at all stages of the change process, from pre-contemplation & preparation to action & maintenance, & informs readers of the research, results, tools, & assessment instruments related to enhancing motivation.",http://books.google.co.in/books?id=L1Y7w_cwBwIC&dq=motivational&hl=&source=gbs_api,hopeful
Handbook of Motivation at School,"Kathryn R. Wentzel, David B. Miele",Education,"The Handbook of Motivation at School presents the first comprehensive and integrated compilation of theory and research on children’s motivation at school. It covers the major theoretical perspectives in the field as well as their application to instruction, learning, and social adjustment at school. Key Features: Comprehensive – no other book provides such a comprehensive overview of theory and research on children’s motivation at school. Theoretical & Applied – the book provides a review of current motivation theories by the developers of those theories as well as attention to the application of motivation theory and research in classrooms and schools. Chapter Structure – chapters within each section follow a similar structure so that there is uniformity across chapters. Commentaries – each section ends with a commentary that provides clear directions for future research.",http://books.google.co.in/books?id=P5GOAgAAQBAJ&dq=motivational&hl=&source=gbs_api,hopeful
Opportunities on improving student motivation at all levels of education,"Julien S. Bureau, Frédéric Guay, Woon Chia Liu, Katrien De Cocker",Science,No description,http://books.google.co.in/books?id=xjXZEAAAQBAJ&dq=motivational&hl=&source=gbs_api,hopeful
Intelligence And Motivation,V.C. Pandey,Intelligence levels,"Intelligence and motivation are the core factors which influence the learning process more than anything else. The term intelligence is defined as the ability to comprehend; to understand and profit from experience. While the term motivation is the driving force (desire) behind all actions of an organism. The presents volume comprehensively covers all basic aspects and significance of intelligence and motivation in the learning process. It contains solid description of topics including the Nature of Motivation; Types of Motivation; Characteristics of Motivation; Techniques of increasing Learner Motivation; Maslow s Hierarchy of Needs ; Intelligence; meaning and Nature; Theories of Intelligence; Measurement of Intelligence and Types of Intelligence Tests. Besides teachers, educationists, parents and students, the content of the book will be highly valuable to a wide ranges of audience from various fields.",http://books.google.co.in/books?id=Md9kNg9MGGYC&dq=motivational&hl=&source=gbs_api,hopeful
"Motivation, Language Identity and the L2 Self","Zoltán Dörnyei, Ema Ushioda",Language Arts & Disciplines,"With contributions by leading European, North American and Asian scholars, this volume offers a comprehensive anthology of conceptual and empirical papers describing the latest developments in L2 motivation research that involves the reframing of motivation in the context of contemporary notions of self and identity.",http://books.google.co.in/books?id=dy_XBQAAQBAJ&dq=motivational&hl=&source=gbs_api,hopeful
